time,Classification,Closed PnL,Size USD,Account,sentiment_numeric,rolling_corr,volatility,day_of_week
2023-10-06,Neutral,0.0,0.0,0,2,,0.0,4
2023-10-07,Neutral,0.0,0.0,0,2,,0.0,5
2023-10-08,Neutral,0.0,0.0,0,2,,0.0,6
2023-10-09,Neutral,0.0,0.0,0,2,,0.0,0
2023-10-10,Neutral,0.0,0.0,0,2,,0.0,1
2023-10-11,Neutral,0.0,0.0,0,2,,0.0,2
2023-10-12,Neutral,0.0,0.0,0,2,,0.0,3
2023-10-13,Neutral,0.0,0.0,0,2,,0.0,4
2023-10-14,Neutral,0.0,0.0,0,2,,0.0,5
2023-10-15,Neutral,0.0,0.0,0,2,,0.0,6
2023-10-16,Neutral,0.0,0.0,0,2,,0.0,0
2023-10-17,Neutral,0.0,0.0,0,2,,0.0,1
2023-10-18,Neutral,0.0,0.0,0,2,,0.0,2
2023-10-19,Neutral,0.0,0.0,0,2,,0.0,3
2023-10-20,Neutral,0.0,0.0,0,2,,0.0,4
2023-10-21,Neutral,0.0,0.0,0,2,,0.0,5
2023-10-22,Neutral,0.0,0.0,0,2,,0.0,6
2023-10-23,Neutral,0.0,0.0,0,2,,0.0,0
2023-10-24,Neutral,0.0,0.0,0,2,,0.0,1
2023-10-25,Neutral,0.0,0.0,0,2,,0.0,2
2023-10-26,Neutral,0.0,0.0,0,2,,0.0,3
2023-10-27,Neutral,0.0,0.0,0,2,,0.0,4
2023-10-28,Neutral,0.0,0.0,0,2,,0.0,5
2023-10-29,Neutral,0.0,0.0,0,2,,0.0,6
2023-10-30,Neutral,0.0,0.0,0,2,,0.0,0
2023-10-31,Neutral,0.0,0.0,0,2,,0.0,1
2023-11-01,Neutral,0.0,0.0,0,2,,0.0,2
2023-11-02,Neutral,0.0,0.0,0,2,,0.0,3
2023-11-03,Neutral,0.0,0.0,0,2,,0.0,4
2023-11-04,Neutral,0.0,0.0,0,2,,0.0,5
2023-11-05,Neutral,0.0,0.0,0,2,,0.0,6
2023-11-06,Neutral,0.0,0.0,0,2,,0.0,0
2023-11-07,Neutral,0.0,0.0,0,2,,0.0,1
2023-11-08,Neutral,0.0,0.0,0,2,,0.0,2
2023-11-09,Neutral,0.0,0.0,0,2,,0.0,3
2023-11-10,Neutral,0.0,0.0,0,2,,0.0,4
2023-11-11,Neutral,0.0,0.0,0,2,,0.0,5
2023-11-12,Neutral,0.0,0.0,0,2,,0.0,6
2023-11-13,Neutral,0.0,0.0,0,2,,0.0,0
2023-11-14,Neutral,0.0,0.0,0,2,,0.0,1
2023-11-15,Neutral,0.0,0.0,0,2,,0.0,2
2023-11-16,Neutral,0.0,0.0,0,2,,0.0,3
2023-11-17,Neutral,0.0,0.0,0,2,,0.0,4
2023-11-18,Neutral,0.0,0.0,0,2,,0.0,5
2023-11-19,Neutral,0.0,0.0,0,2,,0.0,6
2023-11-20,Neutral,0.0,0.0,0,2,,0.0,0
2023-11-21,Neutral,0.0,0.0,0,2,,0.0,1
2023-11-22,Neutral,0.0,0.0,0,2,,0.0,2
2023-11-23,Neutral,0.0,0.0,0,2,,0.0,3
2023-11-24,Neutral,0.0,0.0,0,2,,0.0,4
2023-11-25,Neutral,0.0,0.0,0,2,,0.0,5
2023-11-26,Neutral,0.0,0.0,0,2,,0.0,6
2023-11-27,Neutral,0.0,0.0,0,2,,0.0,0
2023-11-28,Neutral,0.0,0.0,0,2,,0.0,1
2023-11-29,Neutral,0.0,0.0,0,2,,0.0,2
2023-11-30,Neutral,0.0,0.0,0,2,,0.0,3
2023-12-01,Neutral,0.0,0.0,0,2,,0.0,4
2023-12-02,Neutral,0.0,0.0,0,2,,0.0,5
2023-12-03,Neutral,0.0,0.0,0,2,,0.0,6
2023-12-04,Neutral,0.0,0.0,0,2,,0.0,0
2023-12-05,Extreme Greed,0.0,50005.83,1,4,,0.0,1
2023-12-06,Neutral,0.0,0.0,0,2,,0.0,2
2023-12-07,Neutral,0.0,0.0,0,2,,0.0,3
2023-12-08,Neutral,0.0,0.0,0,2,,0.0,4
2023-12-09,Neutral,0.0,0.0,0,2,,0.0,5
2023-12-10,Neutral,0.0,0.0,0,2,,0.0,6
2023-12-11,Neutral,0.0,0.0,0,2,,0.0,0
2023-12-12,Neutral,0.0,0.0,0,2,,0.0,1
2023-12-13,Neutral,0.0,0.0,0,2,,0.0,2
2023-12-14,Greed,-205.43473700000007,113203.35,1,3,-0.4222359516030329,44.82953488932598,3
2023-12-15,Greed,-24.632033999999997,10609.95,1,3,-0.42093038197358895,44.88299111636189,4
2023-12-16,Greed,0.0,15348.77,1,3,-0.3810772249498171,44.88299111636189,5
2023-12-17,Greed,304.982785,116278.02,1,3,0.06240511172911681,82.32782331412855,6
2023-12-18,Greed,0.0,31164.179999999997,1,3,0.057458688142806094,82.32782331412855,0
2023-12-19,Greed,1000.5386120000001,91602.41,1,3,0.2683045341484402,232.5753495885502,1
2023-12-20,Greed,162.732282,141636.79,1,3,0.28525814656183995,233.4929217871035,2
2023-12-21,Greed,537.211402,125233.97,1,3,0.34642471628400884,255.1355487521785,3
2023-12-22,Greed,141.832675,88874.28,1,3,0.3490546626647181,254.6624910708343,4
2023-12-23,Greed,146.936704,78438.25,1,3,0.351211291214059,254.04648115524284,5
2023-12-24,Greed,1008.619956,402954.94,1,3,0.38390618456299735,321.0436885868492,6
2023-12-25,Greed,-245.081348,59948.51,1,3,0.3228812328246361,330.93109702656903,0
2023-12-26,Neutral,0.0,0.0,0,2,0.3228812328246361,330.93109702656903,1
2023-12-27,Greed,-704.889227,171411.06,1,3,0.20160380922650845,377.7132953704418,2
2023-12-28,Greed,-970.7308760000001,100117.25,1,3,0.08774377481653507,444.2436506771494,3
2023-12-29,Greed,508.922143,569559.72,1,3,0.11506786599504978,454.8558314070398,4
2023-12-30,Greed,354.99864799999995,702550.21,1,3,0.128814085538969,458.3525802028822,5
2023-12-31,Neutral,0.0,0.0,0,2,0.128814085538969,458.3525802028822,6
2024-01-01,Greed,-129.53146,264239.52999999997,1,3,0.1114820229040099,460.57525496951394,0
2024-01-02,Greed,783.979116,121348.74,1,3,0.13817098523996701,484.1019367356089,1
2024-01-03,Greed,866.015507,394499.36,1,3,0.15906655503924405,508.974961193217,2
2024-01-04,Greed,-67.60364,99792.54,1,3,0.19307029862359626,504.78460606916485,3
2024-01-05,Greed,164.14156500000004,1703942.66,1,3,0.1874141029640633,502.7290802410542,4
2024-01-06,Greed,135.58166400000002,298521.4,1,3,0.17932762244881206,501.1165279644829,5
2024-01-07,Greed,-835.681235,1048850.06,1,3,0.118275198904439,547.7289026043758,6
2024-01-08,Greed,-269.874439,1522452.43,1,3,0.09638535052408688,554.209350614272,0
2024-01-09,Extreme Greed,-826.3498630000001,870051.97,1,4,-0.09288672436929955,552.9969314524188,1
2024-01-10,Greed,-1517.091342,2057479.48,1,3,-0.11839416282588147,647.2483538752343,2
2024-01-11,Extreme Greed,-164.08950099999996,305314.10000000003,2,4,-0.14262426293167538,633.7256643048031,3
2024-01-12,Greed,-1925.519024,200082.27,1,3,-0.13624131498166728,748.2382009686869,4
2024-01-13,Neutral,0.0,0.0,0,2,-0.12879867629414568,745.7543286178474,5
2024-01-14,Neutral,0.0,0.0,0,2,-0.12424037576678286,696.0217179735993,6
2024-01-15,Neutral,152.85358,50636.1,2,2,-0.13615072669602094,701.007086281739,0
2024-01-16,Greed,-2299.1714580000003,116427.33,2,3,-0.14061062645366412,833.3485972793708,1
2024-01-17,Greed,813.2741110000001,800831.03,1,3,-0.13013230090767808,863.6923845922308,2
2024-01-18,Greed,68.93319,424631.53,1,3,-0.14315908753866202,849.9322323355748,3
2024-01-19,Neutral,-385.419235,428428.97,2,2,-0.120441776286872,834.9428756276048,4
2024-01-20,Neutral,-146.57487000000003,1070090.51,1,2,-0.12721421108061234,824.1171019442465,5
2024-01-21,Greed,266.581146,103129.74,1,3,-0.12510540337688889,830.4451889725544,6
2024-01-22,Greed,1375.640959,337878.99,2,3,-0.10136687121942103,903.3961777094503,0
2024-01-23,Neutral,-369.24472999999983,414518.93,1,2,-0.10423810584124397,876.4241313378521,1
2024-01-24,Neutral,-2808.353815,965084.59,1,2,0.047004771347661026,1002.9802625465655,2
2024-01-25,Neutral,-3093.6293849999997,66566.13,1,2,0.17726096812353223,1156.7177716802473,3
2024-01-26,Neutral,90.2,11773.21,2,2,0.15879190894590559,1154.5283634176642,4
2024-01-27,Neutral,0.0,0.0,0,2,0.1534363871044553,1150.823413051258,5
2024-01-28,Neutral,-2478.06972,18109.03,1,2,0.20268831348303942,1223.6150624490494,6
2024-01-29,Greed,486.562542,414208.18,2,3,0.20431127529889787,1246.0948490161998,0
2024-01-30,Greed,-173.65419100000003,401011.38,1,3,0.22649609095359063,1248.5033121144604,1
2024-01-31,Greed,-799.840817,6305647.13,1,3,0.21587765360510133,1231.1762765525948,2
2024-02-01,Greed,0.0,2008.18,1,3,0.2074846879722364,1234.2139910045878,3
2024-02-02,Greed,456.423473,474278.43,1,3,0.203711783154337,1209.1880843206723,4
2024-02-03,Greed,223.30918699999998,603820.0,1,3,0.20741779084283962,1214.0487657954739,5
2024-02-04,Greed,47.62389499999999,203187.53,1,3,0.2059547749149912,1214.8980598147011,6
2024-02-05,Greed,-33.454194000000015,770198.26,1,3,0.20377257442026253,1211.270820462258,0
2024-02-06,Greed,-215.615907,8047153.41,1,3,0.21398921214888267,1132.147782791367,1
2024-02-07,Greed,241.24212,6758.73,1,3,0.22078595158410785,1110.2411310458267,2
2024-02-08,Greed,770.756024,26051.12,1,3,0.2893373844784121,1133.6441155971625,3
2024-02-09,Neutral,0.0,0.0,0,2,0.2995384580234972,1135.5091714514474,4
2024-02-10,Neutral,0.0,0.0,0,2,0.30334832936217154,1136.9060269452295,5
2024-02-11,Greed,983.443176,212311.82,1,3,0.38918398073785127,1164.7593951314807,6
2024-02-12,Greed,913.8817869999998,227247.69999999998,1,3,0.4243008776830729,1136.5077170991096,0
2024-02-13,Extreme Greed,559.44389,1999.99,1,4,0.4493980304515649,1150.6058038507088,1
2024-02-14,Greed,3830.599833,320839.88,2,3,0.45220280048530603,1308.0409839160304,2
2024-02-15,Greed,1840.797677,185188.04,2,3,0.5234612439725774,1140.7832048474984,3
2024-02-16,Greed,5491.768834,564896.51,2,3,0.47235801917258846,1601.8827532987088,4
2024-02-17,Extreme Greed,1929.6418,406118.07,2,4,0.5040399778011413,1622.2635711677665,5
2024-02-18,Greed,477.6248299999999,157048.17,1,3,0.5009997445124621,1455.0613909620608,6
